PID,Gist_Hindi_by_Sant_Singh
P0014L11,सिद्ध होकर सिद्धियाँ भी लगाऊं और ऋद्धियों भी कहने मात्र से मेरे पास आ जाएँ।
P0014L12,"स्वेच्छा से अलोक व आलोक हो जाऊँ, जिससे लोगों के मन में मेरे प्रति श्रद्धा पैदा हो।"
P0014L13,कहीं ऐसा न हो कि इन शक्तियों से भ्रमित होकर मैं भूल जाऊँ और निरंकार का नाम अपने हृदय से विस्मृत कर दूँ। इसलिए मैं ऐसे भ्रमित करने वाले पदार्थों की ओर देखता भी नहीं हूँ॥ ३॥
P0014L14,बादशाह होकर सेना एकत्रित कर लूं और सिंहासन पर विराजमान हो जाऊँ।
P0014L15,"वहाँ बैठ कर जो चाहूँ आदेश करके प्राप्त कर लूं, सतिगुरु जी कहते हैं कि यह सब कुछ व्यर्थ है।"
P0014L16,कहीं ऐसा न हो कि इन शक्तियों से भ्रमित होकर मैं भूल जाऊँ और निरंकार का नाम अपने हृदय से विस्मृत कर दूँ॥ ४ ॥ १॥
P0014L17,श्रीरागु महला १ ॥
P0014L18,हे निरंकार ! बेशक मेरी आयु करोड़ों युगों तक हो जाए (समस्त पदार्थों को छोड़कर) पवन ही मेरा खाना-पीना हो।
P0014L19,"जहाँ पर चंद्रमा व सूर्य दोनों का प्रवेश न हो, ऐसी गुफा में बैठ कर मैं तुम्हारा चिन्तन करूँ और स्वप्न में भी निद्रा का स्थान न हो।"
P0014L20,"(ऐसी कठिन तपस्या करने के उपरान्त भी) मैं तेरा मूल्यांकन नहीं कर सकता, तेरे नाम को मैं कितना महान् कथन करूं। अर्थात् तेरे नाम की महिमा का व्याख्यान करना कठिन है ॥ १ ॥"
P0014L21,सत्यस्वरूप निरंकार सदा अपनी महिमा में ही स्थित है।
P0014L22,"शास्त्रों से अध्ययन करके ही कोई उसके गुणों को कथन करता है, किन्तु जिस पर निरंकार की कृपा होती है उसी में (उसके गुण श्रवण व कथन करने की) जिज्ञासा उत्पन्न होती है॥ १॥ रहाउ॥"
P0014L23,यदि मैं पुनः पुनः कष्ट देकर काट दिया जाऊँ तथा चक्की में डाल कर पीस दिया जाऊँ।
P0014L24,अग्नि में मेरे शरीर को जला दिया जाए अथवा शरीर को भस्म लगा कर रखू
P0014L25,"तो भी मैं तेरा मूल्यांकन नहीं कर सकता, तेरे नाम को मैं कितना महान् कथन करूँ, अर्थात् तेरे नाम की महिमा का व्याख्यान करना कठिन है ॥ २॥"
P0014L26,(सिद्धियों के बल पर) मैं पक्षी बनकर आकाश में भ्रमण करूं और इतना ऊँचा चला जाऊँ कि सैंकड़ों ही आसमान छू लूं।
P0014L27,ऐसा सूक्ष्म हो जाऊँ कि किसी की दृष्टि में न आऊं और न कुछ पीऊं न कुछ खाऊं।
P0014L28,"तो भी मैं तेरा मूल्यांकन नहीं कर सकता, तेरे नाम को मैं कितना महान् कथन करूँ, अर्थात् तेरे नाम की महिमा का व्याख्यान करना कठिन है ॥ ३॥"
P0015L01,"सतगुरु जी कथन करते हैं कि लाखों मन कागज़ पढ़-पढ़ कर, अर्थात् अनेकानेक शास्त्रों व धर्म ग्रंथों का अध्ययन करके, ईश्वर से प्रेम किया जाए।"
P0015L02,उसकी स्तुति लिखने हेतु स्याही का भी अभाव न हो और कलम पवन की भाँति चलती रहे।
P0015L03,"तो भी मैं तेरा मूल्यांकन नहीं कर सकता, तेरे नाम को मैं कितना महान् कथन करूँ, अर्थात् तेरे नाम की महिमा का व्याख्यान करना कठिन है ॥४॥२॥"
P0015L04,श्रीरागु महला १ ॥
P0015L05,हे मानव ! शब्दों का बोलना सीमित है। खाना-पीना भी सीमित है।
P0015L06,"मार्ग पर चलने की सीमा बंधी हुई है, देखने व श्रवण करने की सीमा निश्चित है।"
P0015L07,"यहाँ तक की स्रष्टा (प्रभु) ने जो तुझे श्वास प्रदान किए हैं उनके लेने की भी सीमा है, (इसकी पुष्टि हेतु) किसी विद्वान से पूछने की क्या आवश्यकता है ॥ १॥"
P0015L08,इसलिए हे जीव ! यह सांसारिक माया सब-कुछ कपट है।
P0015L09,"जिस अज्ञानी ने परमात्मा का नाम अपने ह्रदय से विस्मृत कर दिया, उसके हाथ न तो यह माया आई और न उसे परमात्मा की प्राप्ति हुई है ॥ १॥ रहाउ॥"
P0015L10,जन्म से लेकर मृत्यु काल तक मानव इस संसार में अपने सम्बन्धियों के संग सांसारिक पदार्थों का भोग करता रहता है।
P0015L11,"किन्तु जिस धर्मराज की सभा में बिठा कर जीव को उसके कर्मो का लेखा बताया जाता है, वहाँ तक जाने के लिए अथवा वहाँ उसकी सहायता करने हेतु कोई साथ नहीं चलता।"
P0015L12,"मृत्यु के पश्चात् जो रोते हैं वे सभी व्यर्थ का भार बांधते हैं:, अर्थात् वे रोने का व्यर्थ-कर्म करते हैं। ॥ २ ॥"
P0015L13,"परमात्मा को प्रत्येक अधिक ही अधिक ही कहता है, अल्प कोई नहीं कहता।"
P0015L14,"किन्तु उसका मूल्यांकन कोई नहीं कर सकता, कहने मात्र से वह बड़ा अथवा महान् नहीं होता है।"
P0015L15,"सत्य स्वरूप निरंकार तू सिर्फ एक ही हैं, तथा अन्य प्राणियों के हृदय में ज्ञान का प्रकाश करने वाला हैं ॥३॥"
P0015L16,निम्न में जो निम्न जाति के लोग हैं और फिर उनमें भी जो अति निम्न प्रभु भक्त हैं।
P0015L17,"सतिगुरु जी कहते हैं कि हे निरंकार ! उनके साथ मेरा मिलाप करो, माया व ज्ञानाभिमान के कारण जो बड़े हैं उनसे मेरी क्या समानता है।"
P0015L18,"जिस स्थान पर उन निम्न व्यक्तियों की सम्भाल की जाती है, वहाँ पर ही हे कृपासागर ! मेरे प्रति तेरी कृपा होगी ॥ ४॥ ३॥"
P0015L19,श्रीरागु महला १ ॥
P0015L20,"लोभ करने वाला कुते के समान, मिथ्या बोलने वाला भंगी, छल-कपट से दूसरे को खाने वाला शव-भक्षक होता है।"
P0015L21,"दूसरे की निंदा करने से मुँह में सर्वथा पराई मैल पड़ती है, क्रोधाग्नि से मनुष्य चाण्डाल का रूप धारण कर लेता है।"
P0015L22,"आत्म-प्रशंसा खट्टे-मीठे रसों का पदार्थ है, हे करतार ! यही तुम से विमुख करने वाले अस्मदादिक जीवों के कर्म हैं। ॥ १॥"
P0015L23,हे मानव ! ऐसे वचन करो जिनसे प्रतिष्ठित हुआ जाए।
P0015L24,क्योंकि जो जीव इस लोक में श्रेष्ठ हैं वही परमात्मा के द्वार पर भी उत्तम कहे जाते हैं और मंद कर्मी जीवों को नरकों के कष्ट भोग कर रोना पड़ता है। ॥१॥ रहाउ ॥
P0015L25,"(मानव मन में) सोने के आभूषणों का प्रेम है, चांदी के प्रति स्नेह है, सुंदर स्त्री के भोग का रस है, सुगन्धि का प्यार है,"
P0015L26,"घुड़सवारी की प्रीत है, आकर्षक सेज पर सोने व भव्य महलों में रहने का चाव है, मीठे पदार्थों के खाने तथा मॉस-मदिरा सेवन करने की लगन है।"
P0015L27,"ये जो कथन किए हैं, ये सभी रसानंद शरीर में विद्यमान हो रहे हैं तो परमात्मा का नाम-रस अंत : करण के किस स्थान पर निवास करे ॥२॥"
P0015L28,जो वचन बोलने से प्रतिष्ठा प्राप्त होती है वही कथन परमात्मा के दरबार में स्वीकृत होता है।
P0015L29,"हे अज्ञानी मन ! सुन, नीरस वचन बोलने वाला व्यक्ति दुखी होता है।"
P0015L30,"जो परमेश्वर को भले लगते हैं वही वचन श्रेष्ठ हैं, और क्या कथन व बखान किया जाए ॥ ३॥"
P0015L31,"उन व्यक्तियों की बुद्धि, प्रतिष्ठा व दैवी सम्पदा रूपी धन श्रेष्ठ है, जिनके हृदय में परमेश्वर का समावेश है।"
P0015L32,"उनकी प्रशंसा क्या की जाए, अन्य कौन प्रशंसनीय हो सकते हैं।"
P0015L33,"सतिगुरु जी कहते हैं कि जो लोग निरंकार की कृपा-दृष्टि से परे हैं, वे परमात्मा द्वारा प्रदत्त विभूतियों में ही खचित रहते हैं, नाम में नहीं ॥ ४॥ ४॥"
P0015L34,श्रीरागु महला १ ॥
P0015L35,"प्रदाता निरंकार ने जीव को जो नश्वर शरीर रूपी नशे की गोली प्रदान की है। अर्थात् मानव को जो परमात्मा ने देह प्रदान की है, उसके अभिमान रूपी नशे में जीव अचेत हो रहा है।"
P0015L36,उसके अभिमान में मस्त बुद्धि ने मृत्यु को भुला रखा है और अल्पकालिक खुशी में परमेश्वर से विमुख हो रहा हैं
P0015L37,जिन को यह नशा नहीं हुआ उन सूफियों को सत्य स्वरूप अकाल पुरुष प्राप्त हुआ है ताकि उन्हें बैकुण्ठ में स्थान मिले ॥ १॥
P0015L38,इसलिए नानक जी का कथन है कि हे मानव ! सत्यस्वरूप अकाल पुरुष को ही निश्चित व सत्य जान।
P0015L39,जिसका सिमरन करने से आत्मिक सुखों की प्राप्ति होती है और निरंकार के दरबार में सम्मान प्राप्त होता है ॥ १॥ रहाउ॥
P0015L40,"वास्तव में मदिरा गुड़ के बिना नहीं बनती, इसलिए निरंकार के नाम की खुमारी हेतु सत्यता रूपी मदिरा में ज्ञान रूपी गुड़ का सम्मिलित होना आवश्यक है, जिसमें प्रभु-नाम मिला हुआ हो।"
P0016L01,"जितने पुरुष नाम के श्रोता व वाचक हैं, उन पर मैं कुर्बान जाता हूँ।"
P0016L02,"इस नाम सिमरन रूपी मदिरा से मन मस्त हुआ तभी जाना जा सकता है,जब जिज्ञासु निरंकार के स्वरूप को प्राप्त कर ले ॥२॥"
P0016L03,जो नाम-जाप व सत्कर्म रुपी जल में स्नान करते हैं और सत्य वचन रूपी सुगंधि को तन पर लगाते हैं।
P0016L04,उनका ही मुँह उज्ज्वल होता है और अन्त लाखों प्राप्तियों में एक नाम की प्राप्ति ही श्रेष्ठ है।
P0016L05,दुख भी उसके सम्मुख ही कथन किए जाएँ जिसके पास देने के लिए सुख हो। ॥ ३ ॥
P0016L06,फिर उस वाहिगुरु को हृदय से विस्मृत क्योंकर किया जाए. जिसने संसार के समस्त प्राणियों को प्राण दिए हुए हैं।
P0016L07,उस निरंकार के बिना खाना-पीना व पहनना सब अपवित्र है।
P0016L08,अन्य सभी बातें व्यर्थ अथवा मिथ्या हैं सिर्फ वही सत्य व स्वीकृत हैं जो तुझे भला लगता है॥ ४॥ ५॥
P0016L09,श्रीरागु महलु १ ॥
P0016L10,"मोह को जलाकर, तदनन्तर रगड़ स्याही बना लें और श्रेष्ठ बुद्धि को कागज़ बना लें।"
P0016L11,प्रेम-रूपी लेखनी से एकाग्र मन रूपी लेखक द्वारा गुरु से सत्यासत्य का विचार उस बुद्धि रूपी कागज़ पर लिखें।
P0016L12,"वाहिगुरु का नाम लिखें, उसकी स्तुति को लिखें और फिर उसकी अनंतता को लिखें ॥ १॥"
P0016L13,हे बाबा जी ! ऐसा लेखा लिखा जाना चाहिए।
P0016L14,तांकेि जहॉ (परलोक में) जीवों से कर्मो का हिसाब लिया जाता है वहाँ सत्य नाम का चिन्ह साथ हो II १॥ रहाउ॥
P0016L15,"जिस परलोक में भक्त जनों को सम्मान मिलता है, सदैव प्रसन्नता तथा सदैव आनन्द की प्राप्ति होती है।"
P0016L16,"जिनके ह्रदय में सत्य नाम बसा हुआ है, उनके ललाट पर तिलक सुशोभित होते हैं।"
P0016L17,"ऐसा नाम जब निरंकार की कृपा हो तभी प्राप्त होता है, अन्यथा जो और वार्ता करनी है वह व्यर्थ है ॥२॥"
P0016L18,"कोई यहाँ जन्मता है और कोई मृत्यु को प्राप्त होता है, किन्हीं यहाँ पर मुखिया बन बैठते हैं।"
P0016L19,"कोई भिखारी पैदा होता है, कोई यहाँ पर बड़े दरबार लगा कर रहते हैं।"
P0016L20,किन्तु परलोक में जाकर ही प्रतीत होता है कि निरंकार के नाम बिना यह सब-कुछ व्यर्थ है ॥ ३॥
P0016L21,"हे पांधा जी ! आप के हृदय में परलोक का भय है अथवा नहीं, किन्तु मुझे आगे परलोक का भय बहुत है। इसलिए यह शरीर व्यवहारिक कार्यों में खप-खप कर टूट रहा है।"
P0016L22,"जिनके नाम बादशाह व सरदार होते हैं, वे भी ख्वार होते यहाँ देखे गए हैं।"
P0016L23,"सतिगुरु जी कथन करते हैं कि जब जीव इस नश्वर संसार को त्याग कर चला जाता है तो जितने भी यहाँ पर मेिथ्या प्रेम-सम्वन्ध स्थापेित किए होते हैं, वे टूट जाते हैं। ॥ ४॥ ६॥"
P0016L24,श्रीरागु महला १ ॥
P0016L25,हे पिता जी ! परमेश्वर के नाम का चिन्तन करने से मीठे रस तथा श्रवण करने से लवणीय रस प्राप्त होते हैं।
P0016L26,मुँह से उसकी स्तुति कथन करने से खट्टे व तुर्श पदार्थों का स्वाद प्राप्त होता है और रागों में कीर्तन करने से सर्व प्रकार के मसालों का स्वाद मिलता है।
P0016L27,"वास्तव में छत्तीस प्रकार का अमृत रूपी भोजन एक परमेश्वर का प्रेम है, परंतु जिन पर परमात्मा की कृपा होती है यह उसी को प्राप्त होते हैं। ॥ १॥"
P0016L28,हे पिता जी ! जिव्हा के स्वाद हेतु अन्य पदार्थों का भक्षण करना ख्वार करता है।
P0016L29,"जिसके खाने से मन में कामादिक विकारों की प्रवृति हो, उससे परलोक में देह को पीड़ित किया जाता है ॥ १॥ रहाउ ॥"
P0016L30,"मन को वाहिगुरु-नाम में लीन करने को ही मैंने लाल रंग का पहरावा बनाया है, सत्य वचन कथन करने को श्वेत पहरावा बनाया है।"
P0016L31,पाप रहित होकर प्रभु के चरणों का ध्यान करने को मैंने नील वस्त्र का पहरावा बनाया है।
P0016L32,संतोष को कमरबंद और ईश्वर-नाम को धन व यौवन माना है ॥ २॥
P0016L33,हे पिता जी ! मन-भावना के अनुसार अन्य पहनने से मानव ख्वार होता है।
P0016L34,"जिसके पहनने से तन को पीड़ा हो तथा मन में विकारों की उत्पति हो, ऐसे वस्त्र पहनने व्यर्थ हैं ॥१॥ रहाउ॥"
P0016L35,"धर्म रूपी घोड़े को सत्य वचन की ज़ीन पहना कर, उसको करुणादि स्वर्ण के दुमची भूषण से सजा कर निरंकार की प्राप्ति के मार्ग की सूझ पर मैंने चलन किया है।"
P0016L36,"शुद्धचित रूपी तरकश में प्रेम रूपी तीर हैं, परमेश्वर की ओर उन्मुख बुद्धि मेरा कमान है, शांति मेरे लिए बर्छीं है, ज्ञान को मैंने म्यान माना है, इन शुभ गुणों की ओर ही मैंने दौड़ना किया है।"
P0016L37,"ईश्वर-कृपा से आपके घर में प्रतिष्ठा से प्रकट होना मेरे लिए धोंसा व भाला है, आपकी साक्षात् कृपा ही मानों मेरी उच्च जाति हैII३॥"
P0016L38,हे पिता जी ! चित प्रसंन करते हेतु किसी अन्य की सवारी करने से मानव ख्वार होता है।
P0016L39,"जिस पर चढ़ने से तन को पीड़ा हो और मन में विकारों की उत्पति हो, ऐसी सवारी करना व्यर्थ है॥ १॥ रहाउ॥"
P0016L40,हे निरंकार ! तेरे नाम की प्रसंनता ही मेरे लिए भवनादि हैं और तुम्हारी कृपा-दृष्टि मेरा परिवार है।
P0017L01,"हे अनंत परमेश्वर ! तुम्हारी रज़ा से सांसारिक क्रिया हेतु आदेश होता है, अन्य निरर्थक बातों का करना निष्फल है।"
P0017L02,सतिगुरु जी का फुरमान है कि यह सत्य स्यरूप अकाल पुरुष किसी अन्य से पूछ कर विचार नहीं करता अर्थात् वह स्वतंत्र शक्ति है ॥ ॥४॥
P0017L03,हे पिता जी ! अन्य भोग-विलास की निद्रा से मानव ख्वार होता है।
P0017L04,"जिस सोने से तन को पीड़ा हो और मन में विकारों की उत्पत्ति हो, ऐसी निद्रा लेना व्यर्थ है ॥१॥ रहाउ ॥४॥७॥"
P0017L05,श्रीरागु महला १ ॥
P0017L06,"शुभ कर्म करने से शरीर केसर के समान पवित्र है, वैरागमयी वचन बोलने से जिव्हा रत्न समान है तथा निरंकार का यशोगान करने से शरीर में विद्यमान श्वास चंदन की सुगन्ध के समान हैं।"
P0017L07,"अठसठ तीर्थों के स्नान-फल का तिलक मस्तिष्क पर शोभायमान होता है, ऐसे संतों की बुद्धि में प्रकाश होता है।"
P0017L08,फिर तो उस प्रकाशमान बुद्धि द्वारा परमेश्वर के गुणों की प्रशंसा की जाए॥ १॥
P0017L09,हे मानव जीव ! परमेश्वर के ज्ञान के बिना अन्य सांसारिक विकारों में लिप्त बुद्धि व्यर्थ है।
P0017L10,"यदि सौ बार लुभावने पदार्थों को अर्जित किया जाए, तो वे मिथ्या पदार्थ व उनका बल मिथ्या है ॥१॥ रहाउ ॥"
P0017L11,"अन्य ज्ञान-बल से पूजा होने लगे, लोग पीर-पीर कहने लगें तथा सम्पूर्ण सृष्टि मिलकर उसके सम्मुख हो जाए।"
P0017L12,अपना नाम भी कहलाए तथा पुनः सिद्धों में भी गिना जाए।
P0017L13,किन्तु यदि अकाल पुरुष के दरबार में उसकी प्रतिष्ठा स्वीकृत न हो तो उसकी यह सब पूजादि उसे ख्वार करती है ॥ २॥
P0017L14,"जिनको सतिगुरु ने उच्च पद पर आसीन किया है, उन्हें कोई भी नष्ट नहीं कर सकता।"
P0017L15,क्योंकि उनके अंतर्मन में वाहिगुरु नाम का खजाना है और नाम के कारण ही संसार में उनका अस्तित्व है।
P0017L16,"जो सत्य स्वरूप, त्रैकालाबाध, भेद रहित निरंकार है उसके नाम के कारण ही (परमात्मा द्वारा प्रतिष्ठित व्यक्ति) वे पूजनीय व मानने योग्य होते हैं। ॥ ३॥"
P0017L17,जब मानव शरीर (मृत्यु के पश्चात्) धूल में मिल जाता है तब जीवात्मा की दशा कैसी होगी।
P0017L18,फिर उसकी सभी चतुराइयां जल जाती हैं और वह विलाप करता हुआ यमदूतों के साथ उठ कर चला जाता है।
P0017L19,सतिगुरु जी कथन करते हैं कि वाहिगुरु का नाम विस्मृत करके यमों के द्वार पर जाने से क्या होता है ॥४॥८॥
P0017L20,श्रीरागु महला १ ॥
P0017L21,"हे मानव ! जो शुभ गुणों से युक्त संत रूप गुणवती (जीवात्मा) है, वह अकाल पुरुष के गुणों का विस्तार करती है और जो अवगुणों से युक्त मनमुख रूप गुणहीन है. वह पश्चाताप करती है।"
P0017L22,"इसलिए यदि जीव रूपी स्त्री पति-परमेश्वर को मिलना चाहती हो तो उसे हृदय में सत्य को धारण करना होगा, क्योंकि झूठ के आश्रय से पति-परमेश्वर प्राप्त नहीं होता।"
P0017L23,"उस जीव-स्त्री के पास तृष्णा रूपी नदी पार करने हेतु न तो भक्ति-भाव की नाव है और न ही प्रेम-भाव का तुल्हा (रस्सों से बांध कर | काष्ठ का बनाया हुआ तख्ता) है, इन साधनों के बिना तो वह परमात्मा इतना दूर है कि उसकी प्राप्ति सम्भव नहीं ॥१॥"
P0017L24,मेरा निरंकार सर्व-सम्पन्न है और अचल सिंहासन पर विराजमान है।
P0017L25,यदि कोई गुरु के उन्मुख होने वाला सद्पुरुष कृपा करे तो अपरिमेय व सत्य स्वरूप परमेश्वर किसी साधक को प्राप्त हो सकता है ॥ १॥ रहाउ॥
P0017L26,"मानव शरीर रूपी परमेश्वर का मंदिर अत्यंत सुंदर है, उसमें चिन्तन रूपी माणिक्य व प्रेम रूपी लाल विद्यमान हैं।"
P0017L27,"वैराग रूपी मोती है, ज्ञान रूपी निर्मल हीरा है तथा धातुओं में श्रेष्ठ स्वर्ण की भाँति यह मानव देह भी एक श्रेष्ठ मनोहर दुर्ग है।"
P0017L28,"(यहाँ प्रश्न उत्पन्न होता है कि) इस दुर्ग पर बिना सीढ़ी के कैसे चढ़ा जाए, (सतिगुरु जी उत्तर देते हैं) इस मानव देह रूपी दुर्ग पर चढ़ने हेतु, अर्थात इस मानव शरीर मुक्ति हेतु गुरु द्वारा निरंकार का चिंतन करके प्रसनचित यानि गुरु उपदेश से परमात्मा का नाम सिमरन करके मुक्ति प्राप्त कर ॥२॥"
P0017L29,"हे मानव ! (इस दुर्ग पर चढ़ने हेतु) गुरु रूप सीढ़ी, (तृष्णा रूपी नदी पार करने हेतु) गुरु रूप नाव व गुरु रूप तुल्हा और (आवागमन से मुक्ति प्राति हेतु) गुरु द्वारा हरिनाम रूपी जहाज का सहारा लिया जा सकता है, अथवा निरंकार के नाम-सिमरन की प्राप्ति के लिए गुरु-उपदेश रूपी सीढ़ी, नाव व तुल्हा को अपना आश्रय बनाओ।"
P0017L30,"गुरु के पास भवसागर पार करने हेतु ज्ञान रूपी जहाज़ है, और गुरु ही पाप कर्मों की निवृति हेतु तीर्थ स्थान व तन शुद्धि हेतु पवित्र दरिया है।"
P0017L31,यदि निरंकार को उस जीव-स्त्री का आचरण भला लगता है तो उसकी बुद्धि निर्मल होती है और वह सत्संगति रूपी सरोवर में स्नान करने जाती है। ॥ ३॥
P0017L32,वह जो परिपूर्ण निरंकार है उसकी पूर्ण श्रद्धा से उपासना करें तो उस अधिष्ठान स्वरूप अकाल पुरुष में स्थिर हुआ जा सकता है।
P0017L33,परिपूर्ण परमेश्वर को प्राप्त हुआ मानव जीव शोभायमान होकर निराश व्यक्तियों की आशाएँ पूर्ण करने के समर्थ हो जाता है।
P0017L34,सतिगुरु जी कथन करते हैं कि वह परिपूर्ण अकाल पुरुष जिसको प्राप्त हो जाए तो उसके शुभ गुणों में कमी कैसे आ सकती है ॥४॥९ ॥
P0017L35,श्रीरागु महला १ ॥
P0017L36,"हे सत्संगेिनी बहन ! आओ, मेरे गले मिलो, क्योंकि हम एक ही पति-परमेश्वर की सखियाँ हैं।"
P0017L37,"हम दोनों मिलकर उस सर्वशक्तिमान निरंकार पति की कीर्ति की बातें करें,"
P0017L38,उस सत्य स्वरूप वाहिगुरु में सर्वज्ञानादि के सभी गुण हैं और हम में सभी अवगुण ही हैं।॥ १॥
P0017L39,हे कर्ता पुरुष ! सृष्टि तेरी शक्ति के कारण ही है।
P0017L40,जब एकमेव अद्वितीय ब्रह्म का विचार करें तो तू ही तू व्यापक हैं फिर अन्य किसी की क्या आवश्यकता है ॥ १॥ रहाउ ॥
P0017L41,"हे सखियों ! जिन्हें पति-परमेश्वर की प्राप्ति हुई है, सौभाग्यवती स्त्रियों से जाकर पूछो कि तुम ने कौन से गुणों के कारण पति-परमेश्वर को प्राप्त है, अर्थात् ब्रह्मानंद का उपभोग किया है।"
P0017L42,(प्रत्युत्तर में कहा है कि) संतोष धारण करने व मधुर-वाणी के कारण स्वाभाविक ही श्रृंगारित हुई हैं।
P0017L43,जिज्ञासु रूपी स्त्री जब गुरु का उपदेश श्रवण-करे तब उसे सुन्दर स्वरूप अकाल पुरुष रूपी पति मिलता है।॥ २॥
P0018L01,हे निरंकार ! कितनी ही तेरी शक्तियां हैं और तेरा दिया हुआ दान भी कितना महान् है (यह सब अकथनीय है) ।
P0018L02,कितने ही असंख्य सूक्ष्म व स्थूल जीव-जंतु हैं जो तेरा निशदिन स्तुतिगान कर रहे हैं।
P0018L03,असंख्य ही तेरे गौरश्यामादि रूप-रंग हैं तथा कितनी ही ब्राह्मण-क्षत्रियादि उच्च जातियाँ व शूद्रादि निम्न जातियों रची हुई है॥ ३॥
P0018L04,फिर तो हे सखियो ! जब सद्पुरुषों की सत्संगति प्राप्त होती है तो हृदय में सुगुणों की उत्पत्ति होती है और सत्य नाम सुमिरन में श्रद्धा करके जीव सत्यस्वरूप अकाल पुरुष में समा जाता है।
P0018L05,"(पुनः क्या होता है इसका विचार सतिगुरु जी ने कथन किया है) जब मानव-मन प्रभु चरणों में लीन होता है तब पति-परमेश्वर प्रकट होता है, किन्तु यह सब गुरु-उपदेश द्वारा हृदय में परमात्मा का भय धारण करने से ही सम्भव है।"
P0018L06,सतिगुरु जी कहते हैं कि वह सत्य स्वरूप निरंकार (बादशाह) ऐसी गुणवती ज्ञानी रूप सुहागिन सखियों को स्वयं ही अपने स्वरूप में अभेद कर लेता है ॥४॥१०॥
P0018L07,श्रीरागु महला १ ॥
P0018L08,"भला हुआ, जो मेरी बुद्धि अवगुणों से रिक्त हो गई है और मेरे हृदय-घर से अहंत्व व ममत्व विकारों का नाश हो गया है।"
P0018L09,(जब इन विकारों से हृदय व बुद्धि रिक्त हो गई तो) सतिगुरु का भरोसा प्राप्त हुआ और विकारों में लिप्त रूपी दूत ऐन्द्रिक दूत मेरे दास बन गए।
P0018L10,उस निश्चिन्त परमात्मा में निश्चय करते हुए व्यर्थ की कल्पना का त्याग कर दिया है॥ १॥
P0018L11,हे मानव मन ! सत्य नाम हृदय में धारण करने से ही यमादि का भय क्षीण होता है।
P0018L12,परमेश्वर का भय माने बिना निर्भय कैसे हुआ जा सकता है परमेश्वर का भय पाने हेतु गुरु के मुख से किया गया उपदेश मनन करना पड़ता है॥ १॥ रहाउll
P0018L13,"फिर तो हे भाई ! उस निरंकार का यश कितना कथन किया जाए, क्योंकि उसके यशोगान की तो कोई सीमा ही नहीं है।"
P0018L14,उस प्रदाता अकाल पुरुष से माँगने वाले तो अनेकानेक जीव हैं और देने वाला वह मात्र एक ही है।
P0018L15,जिस के आसरे जीव और प्राण हैं उस निरंकार को मन में बसा लेने से ही आत्मिक सुखों की प्राप्ति हो सकती है॥ २॥
P0018L16,"उसके अतिरिक्त अन्य जो जगत् की रचना है वह एक स्वप्न व तमाशा ही है, क्षण मात्र में यह खेल की भाँति समाप्त हो जाएगा; अर्थात् परमात्मा के बिना यह संसार व अन्य पदार्थ सब नश्वर हैं।"
P0018L17,जीव संयोगी कर्मो के कारण संसार में एकत्र होते हैं और वियोर्गीकर्मो से यहाँ से प्रस्थान कर जाते हैं।
P0018L18,"जो निरंकार को भला लगता है वही होता है, अपनी समर्था से अन्य कोई भी कुछ नहीं कर सकता ॥ ३॥"
P0018L19,जिनके पास श्रद्धा रूपी पूँजी है उन गुरु के उन्मुख सौदागरों ने ही वाहिगुरु-नाम रूपी सौदा क्रय किया है और वे नामी पुरुष ही आत्म-वस्तु को खरीदते हैं।
P0018L20,"जिन्होंने गुरु द्वारा सत्य नाम रूपी सौदा खरीदा है, वे परलोक में भी दृढ़ होते हैं।"
P0018L21,"सतिगुरु जी कथन करते हैं कि जिसके पास नाम रूपी सच्चा सौदा है, वही लोक-परलोक में आत्म-वस्तु को पहचानसकेगा ॥ ४॥ ११॥"
P0018L22,श्रीरागु महलु १ ॥
P0018L23,"{यहाँ पर सतिगुरु मनमुख व गुरमुख में अंतर कथन करते हैं) जो माया से प्रीत करने वाला प्राणी है वह पुन: माया में ही लिप्त होता है, अर्थात् आवागमन के चक्र में भ्रमण करता है, पर गुरु से मिल कर जो अकाल पुरुष का स्तुति गान करता है वह उस परमेश्वर में ही अभेद हो जाता है।"
