PID,Trans_Hindi_by_Sahib_Singh,Note_by_Sahib_Singh,Bhaav_by_Sahib_Singh,PadArath_by_Sahib_Singh,
P0004L55,कौन सी ऋतुऐं थीं और वह कौन सा महीना था~ जब ये संसार बना था?,,,"कवणि सि रुती = कौन सी वह ऋतुएं हैं।
माह = महीना।
कवणु = कौन सा।
जितु = जिस में~ जिस समय।
होआ = अस्तित्व में आया~ पैदा हुआ~ बना।
आकारु = ये दिखने वाला संसार।",
P0004L56,(कब ये संसार बना?) उस समय का पण्डितों को भी पता ना लगा~ नहीं तो (इस मसले पे भी) एक पुराण लिखा होता।,,,"वेल = समय।
पाइआ = पाई~ ढूँढी।
वेल न पाईआ = समय ना मिला।
(नोट: ‘वेला’ पुलिंग है और ‘वेल’ स्त्रीलिंग है)।
पंडती = पण्डितों ने।
जि = नहीं तो।
होवै = होता~ बना होता।
लेखु = मज़मून।
लेखु पुराणु = पुराणु रूप लेख~ इस लेख वाला पुराण (भाव~ जैसे और कई पुराण बने हैं~ इस लेख का भी एक पुराण बना होता)।",
P0004L57,उस समय के काजि़यों को भी ख़बर ना लगी वर्ना वे भी लिख देते जैसे उन्होंने (आयतें इकट्ठी करके) कुरान (लिखी थी)।,,,"वखतु = समय~ जब जगत बना।
न पाइओ = नहीं मिला।
कादीआं = काजियों ने।

‘पाइओ’ भूतकाल है~ इसका हुकमी भविष्यत ‘पाइअहु’ (उच्चारण: पायहु) हो सकता है।","अरबी के अक्षर ज़ुआद~ ज़ुइ और ज़े का उच्चारण अक्षर ‘द’ से होता है।
शब्द् ‘कागज़’ का ‘कागद’~ ‘नज़र’ का ‘नदरि’ और ‘हज़ूर’ का ‘हदूरि’ उच्चारण है।
इसी तरह ‘काज़ी’ का ‘कादी’ उच्चारण भी है।
जि = नहीं तो।
लिखनि = (काज़ी) लिख देते।
लेखु कुराणु = कुरान जैसा लेख (भाव~ जैसे काजि़यों ने मुहम्मद साहिब की उच्चारित आयतें एकत्र करके कुरान लिख दी थीं~ वैसे ही वे संसार के बनने का समय का लेख भी लिख देते)।नोट: इस पौड़ी में इस्तेमाल हुए शब्द् ‘वखतु’~ ‘पाइओ’ और ‘कादीआ’ के अर्तों को तोड़–मरोड़ के कादियानी मुसलमानों द्वारा अंजान सिखों को गुमराह किया जा रहा है कि यहाँ गुरू नानक देव जी ने पेशीन–गोई करके सिखों को हिदायत की हुई है कि नगर कादियां में प्रगट होने वाले पैग़ंबर को तुम लोग कोई वख्त (मुसीबत) ना डालना।हमने यहां किसी बहस में नहीं पड़ना और किसी को गुमराह भी नहीं करना।
शब्दों की बनावट और अर्तों की ओर ही ध्यान दिलाना है।
शब्द ‘कादीआं’ पद्अर्थ में समझाया जा चुका है।
लफ्ज ‘वखतु’~ अरबी का लफ्ज ‘वकत’ (वक्त) है।
हिंदुओं का जि़कर करते हुए हिंदका लफ्ज ‘वेला’ (बेला) उपयोग किया है।
मुसलमानों के जि़कर में मुसलमानी लफ्ज ‘वकत’ का पंजाबी ‘वखतु’ इस्तेमाल हुआ है।
श्री गुरू गं्रथ साहिब में जहां कहीं भी ये लफ्ज आया है~ इसका अर्थ सदा समय ही है।
जैसे; ‘जे वेला वखतु वीचारीअै~ तां कितु वेलै भगति होइ।’ ‘इकना वखत खुआईअहि~ इकना पूजा जाइ।’शब्द् ‘पाइओ’ हुकमी भविष्यत काल नहीं है~ जैसे कि कादियानी कहते हैं।
ये शब्द भूतकाल में है।
इस किस्म का भूतकाल गुरबाणी में अनेकों जगहों पर आया है~ जैसे;आपीनै आपु ‘साजिओ’~ आपीनै ‘रचिओ’ ‘नाउं’।बिनु सतिगुर किनै न ‘पाइओ’~ बिनु सतिगुर किनै न पाइआ।हुकमी भविष्यत का रूप है ‘सदिअहु’~ ‘करिअहु’ (रामकली ‘सदु’)।
पाठक लफ्जों के जोड़ों का खास ख्याल रखें।"
P0004L58,(जब जगत बना था तब) कौन सी तिथि थी~ (कौन सा) दिन वार था~ ये बात कोई जोगी भी नहीं जानता।,,,,
P0004L59,कोई मनुष्य नहीं (बता सकता) कि तब कौन सी ऋतु थी और कौन सा महीना था। जो सृजनहार इस जगत को पैदा करता है~ वह स्वयं ही जानता है (कि जगत कब रचा)।,,,"जा करता = जो करतार।
सिरठी कउ = जगत को।
साजै = पैदा करता है~ बनाता है।
आपे सोई = वह खुद ही।",
P0004L60,मैं किस तरह (अकाल-पुरख की वडियाई) बताऊँ~ किस तरह अकाल-पुरख की सिफत-सालाह करूँ~ किस तरह (अकाल-पुरख की वडिआई) का वर्णन करूँ और किस तरह उसे समझ सकूँ?,,,"किव करि = किस तरह~ क्यूँ कर।
आखा = मैं कहूँ~ मैं बयान करूँ~ मैं कह सकूँ।
सालाही = मैं सालाहूँ~ मैं अकाल-पुरख की उस्तति करूँ।
किउ = किस तरह~ क्यूँ कर।
वरनी = मैं वर्णन करूँ।",
P0005L01,हे नानक! हरेक जीव अपने आप को दूसरे से ज्यादा समझदार समझ के (अकाल-पुरख की वडियाई) बताने का प्रयत्न करता है (पर बता नहीं सकता)।,,,"सभ को = हरेक जीव।
आखणि आखै = कहने को तो कहता है~ कहने का यत्न करता है।
इक दू इकु सिआणा = एक दूसरे से ज्यादा समझदार बन बन के~ एक जना अपने आपको दूसरे से ज्यादा समझदार समझ के।
दू = से।",
P0005L02,अकाल-पुरख (सबसे) बड़ा है~ उसकी वडिआई ऊँची है। जो कुछ जगत में हो रहा है~ उसीका किया ही हो रहा है।,,,"साहिबु = मालिक~ अकाल-पुरख।
नाई = वडिआई।
जा का = जिस (अकाल-पुरख) का।
कीता जा का होवै = जिस हरि का किया ही सब कुछ होता है।",
P0005L03,हे नानक! यदि कोई मनुष्य अपनी अक्ल के आसरे (प्रभू की वडियाई का अंत पाने का) प्रयत्न करे~ वह अकाल-पुरख के दर पर जा के आदर मान नहीं पाता।21।,,भाव: जिस मनुष्य ने ‘नाम’ में चित्त जोड़ा है~ जिसको सिमरन की लगन लग गई है~ जिसके मन में प्रभू का प्यार उपजा है~ उसकी आत्मा शुद्ध पवित्र हो जाती है। पर ये भक्ति उसकी मेहर से ही प्राप्त होती है।और बंदगी का ये नतीजा नहीं निकलता कि मनुष्य ये बता सके कि जगत कब बना। ना पण्डित~ ना काज़ी~ ना योगी~ कोई भी ये भेत नहीं पा सके। परमात्मा बेअंत बड़ा है। उसका बड़प्पन (वडियाई) भी बेअंत है~ उसकी रचना भी बेअंत है।21।,"जे को = यदि कोई मनुष्य।
आपौ = अपने आप को~ अपनी अक्ल के बल पे~ स्वयं ही।
न सोहै = शोभा नहीं पाता~ आदर नहीं मिलता।
अगै गइआ = अकाल-पुरख के दर पर जा के।",
P0005L04, “पातालों के नीचे और भी लाखों पाताल हैं और आकाशों के ऊपर और भी लाखों आकाश हैं,,,"पाताला पाताल = पातालों के नीचे और पाताल हैं।
आगासा आगास = आकाशों के ऊपर और आकाश हैं।",
P0005L05,(बेअंत ऋषी मुनी) जगत के आखिरी छोर को ढूँढढूँढ के थक गए हैं (पर ढूँढ नहीं सके)” ~ (सारे) वेद एक जुबान हो के कहते हैं,,,"ओड़क = आखी़र~ अंत~ आखिरी छोर पे।
भालि थके = ढूँढढूँढ के थक गए हैं।
कहनि = कहते हैं।
इक वात = एक बात~ एक ज़बान हो के।",
P0005L06,(मुसलमान व इसाई धर्म की चारों) कतेबें कहती हैं~ “कुल अठारह हजार आलम हैं~ जिनका आरंभ एक अकाल-पुरख है। (पर सच्ची बात तो ये है कि शब्द) ‘हजारों’ और ‘लाखों’ भी कुदरत की गिनती में इस्तेमाल नहीं किए ना सकते,,,"सहस अठारह = अठारह हजार (आलम)।
कहनि कतेबा = कतेबें कहती हैं।
कतेबा = इसाई मत व इस्लाम आदि की चार किताबें: कुरान~ अंजील~ तौरेत व जंबूर।
असुलू = शुरू।","नोट: असुलू - ये अरबी बोली का शब्द है।
अक्षर ‘स’ की मात्रा (ु) अरबी के अक्षर ‘सुआद’ बताने के लिए है।
इक धातु = एक अकाल-पुरख~ एक पैदा करने वाला।"
P0005L07,(अकाल-पुरख की कुदरत का) लेखा तभी लिखा जा सकता है जो लेखा संभव हो (ये लेखा तो हो ही नहीं सकता~ लेखा करते करते) लेखे का ही खात्मा हो जाता है (गिनती के हिंदसे ही खत्म हो जाते हैं)।,,,"लेखा होइ = अगर लेखा हो सके।
लिखीअै = लिख सकते हैं।
लेखै विणासु = लेखे का खात्मा~ लिखे का अंत।",
P0005L08,हे नानक! जिस अकाल-पुरख को (सारे जगत में) बड़ा कहा जा रहा है~ वह स्वयं ही अपने आप को जानता है (वह अपनी वडियाई स्वयं ही जानता है।22।,,भाव:  प्रभू की कुदरत को बयान करते हुए ‘हजारों’ व ‘लाखों’ के हिंदसे भी इस्तेमाल नहीं किये जा सकते। इतनी बेअंत कुदरत है कि इसका लेखा करने के समय गिनती के हिंदसे ही समाप्त हो जाते हैं।22।,"आखीअै = कहते हैं (जिस अकाल-पुरख को)।
आपे = वह अकाल-पुरख खुद ही।
जाणै = जानता है।
आपु = अपने आपको।",
P0005L09,सालाहने योग्य अकाल-पुरख की महानताओं का वर्णन कर करके किसी भी मनुष्य ने इतनी समझ नहीं पाई कि वो अंत पा सके कि अकाल-पुरख कितना बड़ा है (सिफत-सालाह करने वाले मनुष्य उस अकाल-पुरख में ही लीन हो जाते हैं)।,,,"सालाही = सालाहुण-जोग परमात्मा।
सालाहि = सिफति सालाह कर के।
ऐती सुरति = इतनी समझ (कि अकाल-पुरख कितना बड़ा है)।
न पाईआ = किसी ने नहीं पाई।",
P0005L10,(जैसे) नदियां और नाले समुंद्र में जा मिलते हैं (और फिर उनका अलग अस्तित्व नहीं रहता) और वह पहचाने नहीं जा सकते (बीच में ही लीन हो जाते हैं~ और समुंद्र की थाह नहीं पा सकते)।,,,"अतै = और~ तथा।
वाह = वहिण~ नाले।
पवहि = पड़ते हैं।
समुंदि = समुन्द्र में।
न जाणीअहि = नहीं जाने जाते~ वह नदियां और नाले (जो फिर अलग) पहचाने नहीं जा सकते~ (बीच में ही लीन हो जाते हैं~ और समुंद्र की थाह नहीं पा सकते)।",
P0005L11,समुंद्रों के बादशाहों के सुल्तान (जिनके खजानों में) पहाड़ जितने धन-पदार्तों के (ढेर हों),,,"समुंद साह सुलतान = समुंद्रों के बादशाहों के सुल्तान।
गिरहा सेती = पहाड़ों जितने।",
P0005L12,(प्रभू की सिफत-सालाह करने वाले की नजरों में) एक कीड़ी के भी बराबर नहीं होते~ यदि (हे अकाल-पुरख!) उस कीड़ी के मन में से तू ना बिसर जाए।23।,,भाव:  सो~ बंदगी करने से प्रभू का अंत नहीं पाया जा सकता।पर इसका ये भाव नहीं कि प्रमात्मा की सिफत-सलाह करने का कोई लाभ नहीं है। प्रभू की भक्ति की बरकत से मनुष्य शाहों-बादशाहों की भी परवाह नहीं करता~ प्रभू के नाम के सामने उसे बेअंत धन भी तुच्छ प्रतीत होता है।23।,"तुलि = बराबर।
न होवई = नहीं होते।
तिसु मनहु = उस कीड़ी के मन में से।
जे न वासरहि = यदि तूँ ना बिसर जाए (हे हरि!)।",
P0005L13,(अकाल-पुरख के) गुणों की कोई हद-बंदी~ सीमा नहीं है~ गिनने से भी (गुणों का) अंत नहीं पाया जा सकता।(गिने नहीं जा सकते)।,,,"सिफती = सिफतों का~ उस्तति का।
कहणि = कहने से~ बताने से।",
P0005L14,अकाल-पुरख की रचना और दातों का अंत नहीं पाया जा सकता।,,,"करणै = बनाई हुई कुदरत का।
देणि = देने में~ दातें देने में।",
P0005L15,देखने और सुनने से भी उसके गुणों का पार नहीं पा सकते।,,,वेखणि~ सुणणि = देखने और सुनने से।,
P0005L16,उस अकाल-पुरख के मन में क्या सलाह है इस बात का अंत भी नहीं पाया जा सकता।,,,"न जापै = नहीं दिखता~ नहीं प्रतीत होता।
मनि = (अकाल-पुरख के) मन में।
मंतु = सलाह।",
P0005L17,अकाल-पुरख ने यह जगत (जो दिखाई दे रहा है) बनाया है~,,,"कीता = बनाया हुआ।
आकारु = ये जगत जो दिखाई दे रहा है।",
P0005L18,पर इस का आखीर~ इसके इसपार-उसपार का छोर दिखाई नहीं देता।,,,पारावारु = इसपार व उसपार का छोर।,
P0005L19,कई मनुष्य अकाल-पुरख की हदें~ सीमाएं तलाशने में व्याकुल हो रहे हैं~,,,"अंत कारणि = हदबंदी ढूँढने के लिए।
केते = कई मनुष्य।
बिललाहि = बिलकते हैं~ तरले लेते हैं।",
P0005L20,पर वे उस की सीमांओं को नहीं ढूँढ सकते।,,,"ता के अंत = उस अकाल-पुरख का अंत/ की सीमा।
न पाऐ जाहि = ढूँढे नही जा सकते।",
P0005L21,(अकाल पुरख के गुणों का) इन सीमाओं को (जिसकी बेअंत जीव तलाश में लगे हुए हैं) कोई मनुष्य नहीं पा सकता।,,,ऐहु अंतु = ये सीमाएं (जिसकी तलाश बेअंत जीव कर रहे हैं)।,
P0005L22,ज्यों ज्यों ये बात कहते जाएं कि वह बड़ा है~ त्यों त्यों वह और भी बड़ा~ और भी बेअंत प्रतीत होने लग पड़ता है।,,,"बहुता कहीअै = ज्यों ज्यों अकाल-पुरख को बड़ कहते जाएं~ ज्यों ज्यों उसके गुण कथन करते जाएं।
बहुता होइ = त्यों त्यों वह और बड़ा~ और बड़ा प्रतीत होने लग जाता है।",
P0005L23,अकाल-पुरख बहुत बड़ा है~ उसका ठिकाना ऊँचा है।,,,थाउ = अकाल-पुरख के निवास का ठिकाना।,
P0005L24,उसकी शोहरत भी ऊँची है।,,,"ऊचे ऊपरि ऊचा = ऊचे से भी ऊँचा~ बहुत ऊँचा।
नाउ = मशहूरी~ नाम~ शोहरत।",
P0005L25,अगर कोई और उसके जितना बड़ा हो~,,,"ऐवडु = इतना बड़ा।
होवै कोइ = यदि कोई मनुष्य हो।",
P0005L26,वह ही उस ऊचे अकाल-पुरख को समझ सकता है (कि वह कितना बड़ा है)।,,,"तिसु ऊचे कउ = उस ऊँचे अकाल-पुरख को।
सोइ = वह मनुष्य ही।",
P0005L27,अकाल-पुरख स्वयं ही जानता है कि वह खुद कितना बड़ा है।,,,"जेवडु = जितना बड़ा।
जाणै = जानता है।
आपि आपि = केवल स्वयं ही (उसके बिना कोई और नहीं जानता)।",
P0005L28,हे नानक! (हरेक) दात~ मिहर की नज़र करने वाले अकाल पुरख की बख़्शिश से ही मिलती है।24।,,भाव:  प्रभू बेअंत गुणों का मालिक है~ उसकी पैदा की हुई रचना भी बेअंत है। ज्यों ज्यों उसके गुणों की तरफ ध्यान मारें~ वह और भी बड़ा प्रतीत होने लग पड़ता है। जगत में ना कोई उस प्रभू जितना बड़ा है~ और इस वास्ते ना हीकोई ये बता सकता है कि प्रभू कितना बड़ा है।24।,"नदरी = मेहर की नजर करने वाला हरि।
करमी = करम से~ कृपा से।
दाति = बख़्शिश~ कृपा।",
P0005L29,उसकी बख्शिश इतनी बड़ी है कि लिखने में नहीं लाई जा सकती।,,,करमु = बख्शिश।,
P0005L30,अकाल-पुरख बहुत सी दातें देने वाला है~ उसे तिलमात्र भी लालच नहीं है।,,,"तिलु = तिल मात्र भी।
तमाइ = लालच~ त्रिष्णा।
दाता = दातें देने वाला।",
P0005L31,बेअंत शूरवीर व कई और ऐसे~ (अकाल-पुरख के दर पे) मांग रहे हैं ~,,,"केते = कई।
जोध अपार = अपार योद्धे~ अनगिनत सूरमें।
मंगहि = मांगते हैं।",
P0005L32,जिनकी गिनती पे विचार नहीं हो सकती,,,"गणत = गिनती।
केतिआ = कईयों की।",
P0005L33,कई जीव (उसकी दातें बरत के) विकारों में ही खप खप नाश हो रहे हैं।,,,"वेकार = विकारों में।
खपि तुटहि = खप खप के नाश होते हैं।
केते = बेअंत जीव।",
P0005L34,बेअंत जीव (अकाल-पुरख के दर से पदार्थ) प्राप्त कर के मुकर जाते हैं (भाव~ कभी शुक्राने में आ के ये नहीं कहते कि सभ पदार्थ प्रभू स्वयं दे रहा है)।,,,मुकरि पाहि = मुकर जाते हैं।,"(नोट: ‘तूं देखहि हउ मुकरि पाउ।’सभ किछु सुणदा वेखदा~ किउ मुकरि पाइआ जाइ।’इन दोनें तुकों में शब्द ‘मुकरि’ है~ पर उपरोक्त तुक में ‘मुकरु’ है।
दोनों का अर्थ एक ही है।
‘मुकरि’ व्याकरण अनुसार सटीक बैठता है।
इस शब्द संबंधी अभी और खोज की जरूरत है)।"
P0005L35,अनेकों मूर्ख (पदार्थ ले कर) खाए ही जाते हैं (पर दातार को याद नहीं रखते)।,,,"खाही खाहि = खाते ही खाते हैं~ खाए जाते हैं।
",
P0005L36,अनेकों ही जीवों को सदैव मार~ कलेश व भूख (ही भाग्य में लिखे हैं)।,,,"केतिआ = कई जीवों को।
दूख = कई दुख कलेश।
भूख = भूख (अर्थात~ खाने को भी नहीं मिलता)।
सद = सदा।",
P0005L37,(पर) हे देनहार अकाल-पुरख ! ये भी तेरी बख्शिश ही है (क्योंकि~ इन दुखों~ कलेशों के कारण ही मनुष्य को रजा में चलने की समझ पड़ती है)।,,,"दाति = बख्शिश।
दातार = हे देनहार अकाल-पुरख!",
P0005L38,और (माया के मोह रूप) बंधन से छुटकारा अकाल-पुरख की रज़ा में चलने से ही होता है।,,,"बंद = बंदी से~ कारागार से~ माया के मोह से।
खलासी = मुक्ति~ छुटकारा।
भाणें = अकाल-पुरख की रज़ा में चलने से।
होइ = होता है।",
P0005L39,रज़ा के बग़ैर कोई और तरीका कोई मनुष्य नहीं बता सकता (भाव~ कोई मनुष्य नहीं बता सकता कि ईश्वर की रज़ा में चलने के अलावा मोह से छुटकारे का और कोई तरीका भी हो सकता है)।,,,"होरु = ईश्वर की रज़ा के उलट कोई और तरीका।
कोइ = कोई मनुष्य।",
P0005L40,(पर) यदि कोई मनुष्य (माया से छुटकारे का और कोई वसीला) बताने का प्रयत्न करे तो,,,"खाइकु = मूर्ख~ कच्चा मनुष्य।
आखणि पाइ = कहने का यत्न करे (भाव~ मोह से छुटकारे का कोई और तरीका) बताने का प्रयत्न करे।",
P0005L41,वही जानता है जितनी चोटें वह (इस मूर्खता के कारण) अपने मुंह पे खाता है (भाव~ ‘झूठ’ से बचने का एक ही तरीका है कि मानव रजा में चले। पर अगर कोई मूर्ख कोई और तरीका ढूँढता है तो इस ‘झूठ’ से बचने की बजाए बलिक ज्यादा दुखी होता है)।,,,"ओहु = वह मूर्ख ही।
जेतीआ = जितनी (चोटें)।
मुहि = मुंह पे।
खाइ = खाता है।",
P0005L42,अकाल-पुरख स्वयं ही (जीवों की जरूरतों को) जानता है तथा स्वयं ही (दातें) देता है।,,,देइ = देता है।,
P0005L43,अनेकां लोग ये बात भी कहते हैं (सारे ना-शुक्रे ही नहीं हैं),,,"आखहि = कहते हैं।
सि भी = ये बात भी।
केई केइ = कई मनुष्य।",
P0005L44,हे नानक! जिस मनुष्य को अकाल-पुरख अपनी सिफत-सालाह की बख्शिश करता है~,,,जिस नो = जिस मनुष्य को।,
P0005L45,वह बादशाहों का बादशाह बन जाता है।(सिफत सलाह ही सब से ऊँची दात है)।25।,,भाव:  प्रभू कितना बड़ा है– ये बात बयान करनी तो कहां रही~ उसकी बख्शिशें ही इतनी बड़ी हैं कि लिखने में नहीं लाई जा सकती। जगत में जो बड़े ब्ड़े दिखाई दे रहे हैं~ ये सभी उस प्रभू के दर से ही मांगते हैं। वह तो बल्कि इतना बड़ा है कि जीवों के मांगने के बिना इनकी जरूरतों को जान के अपने आप दातें दिए जा रहा है।पर जीव की मूर्खता देखिए! दातों का इस्तेमाल करते करते दातार को विसार के विकारों में पड़ जाता है और कई दुख कलेश अपने ऊपर ले लेता है। ये दुख कलेश भी प्रभू की दात हैं~ क्योंकि इन दुखों कलेशों के कारण ही मनुष्य को मुड़ रजा में चलने की समझ आ जाती है~ और ये ईश्वर की सिफत-सालाह करने लग जाता है। यह सिफत-सालाह ही सबसे ऊँची दात है।25।,नानक = हे नानक! पातिसाही पातिसाहु = बादशाहों के बादशाह।,
P0005L46,(अकाल-पुरख के) गुण अमोलक हैं (उसके गुणों का मुल्य नहीं पड़ सकता~ अमुल्य हैं)~ (इन गुणों के) व्यापार करने भी अमुल्य हैं।,,,"अमुल = अनमोल~ जिसका कोई मुल्य ना हो सके।
गुण = अकाल-पुरख के गुण।",
P0005L47,उन मनुष्यों का भी मुल्य नहीं पड़ सकता~ जो (अकाल-पुरख के गुणों का) व्यापार करते हैं~ (गुणों के) खजाने (भी) अमुल्य हैं।,,,"वापारीऐ = अकाल-पुरख के गुणों का व्यापार करने वाले।
भंडार = खजाने।",
P0005L48,उन मनुष्यों का मूल्य नहीं पड़ सकता~ जो (इस व्यापार के लिए जगत में) आते हैं। वो भी अति भाग्यशाली हैं~ जो (ये सौदा खरीद के) ले जाते हैं।,,,"आवहि = जो मनुष्य (इस व्यापार के लिए) आते हैं।
लै जाहि = (ये सौदा खरीद के) ले जाते हैं।",
P0005L49,जो मनुष्य अकाल-पुरख के प्रेम में हैं और जो मनुष्य उस अकाल-पुरख में लीन हुये हुए हैं वह भी अमुल्य हैं।,,,"भाइ = भाउ में~ प्रेम में।
समाहि = (अकाल-पुरख में) लीन हैं।",
P0005L50,अकाल-पुरख का कानून और उसका राज दरबार अनमोल हैं।,,,"धरमु = नियम~ कानून।
दीबाणु = कचहरी~ दीवान~ राज दरबार।",
P0005L51,वह तराजू भी अनमोल है और वह बाँट भी अनमोल है (जिससे वह जीवों के अच्छे-बुरे कर्मों को तौलता है)।,,,"तुलु = तुला~ तकड़ी।
परवाणु = प्रमाण~ तोलने वाला बाँट।",
P0005L52,उसकी रहिमत व रहिमत के निशान भी अमोलक हैं।,,,"बखसीस = रहमत~ दया।
नीसाणु = अकाल-पुरख की रहमत का निशान।",
P0005L53,अकाल-पुरख की बख्शिश तथा हुकम भी मुल्यों से परे हैं।(किसी का भी अंदाजा नहीं लग सकता)।,,,"करमु = रहिमत~ बख्शिश।
फुरमाणु = हुकम।
अमुलु = अंदाजों से परे।",
P0005L54,अकाल-पुरख सभ अंदाजों से परे है~ उसका कोई अंदाजा नहीं लग सकता।,,,अमुलो अमुलु = अमुल्य ही अमुल्य~ किसी भी अंदाज से परे।,
P0005L55,जो मनुष्य ध्यान लगा लगा के अकाल-पुरख का अंदाजा लगाते हैं~ वह (अंत को) रह जाते हैं।,,,"आखि आखि = अंदाजा लगा लगा के।
रहे = रह गए हैं~ थक गए हैं।
लिव लाइ = ध्यान जोड़ के~ चिंतन कर के।",
P0005L56,वेद मंत्र व पुराण अकाल-पुरख का अंदाजा लगा लेते हैं।,,,"आखहि = कह रहे हैं~ वर्णन करते हैं।
वेद पाठ = वेदों के पाठ~ वेद मंत्र।",
P0005L57,विद्वान लोग भी~ जो (औरों को) उपदेश करते है~ (अकाल-पुरख का) बयान करते हैं।,,,"पड़े = पढ़े हुए मनुष्य~ विद्वान।
करहि वखिआण = व्याख्यान करते हैं~ उपदेश करते हैं~ औरों को सुनाते हैं।",
P0005L58,कई ब्रह्मा~ कई इंद्र~,,,"बरमें = कई ब्रह्मा।
इंद = इंद्र देवते।",
P0006L01,गोपियां और कई कान्हें अकाल-पुरख का अंदाजा लगा रहे हैं।,,,"तै = और।
गोविंद = कई कान्हे।",
P0006L02,अर्थ: कई शिव और सिद्ध~,,,इसर = शिव।,
P0006L03,अकाल-पुरख के पैदा किये हुए बेअंत बुद्ध~,,,केते = कई~ बेअंत। कीते = अकाल-पुरख के पैदा किए हुए। बुध = महात्मा बुध।,
P0006L04,राक्षस और देवते~,,,दानण = दानव~ दैंत~ राक्षस। देव’ = देवते।,
P0006L05,देव स्वभाव मनुष्य~ मुनि जन तथा सेवक अकाल-पुरख का अंदाजा लगाते हैं।,,,सुरि नर = सुरों के स्वभाव वाले नर। मुनि जन = मुनी लोग। सेव = सेवक।,
P0006L06,अर्थ: बेअंत जीव अकाल-पुरख का अंदाजा लगा रहे हैं~ और बेअंत ही लगाने का प्रयत्न कर रहे हैं।,,,केते = कई जीव। आखणि पाहि = कहने का यतन करते हैं।,
P0006L07,बेअंत जीव अंदाजा लगा लगा के इस जगत से चले जा रहे हैं।,,,कहि कहि = कह कह के~ अकाल-पुरख का मुल्य लगा लगा के~ अकाल-पुरख का अंदाजा लगा लगा के। उठि उठि जाहि = जहाँ से चले जाते हैं।,
P0006L08,जगत में इतने (बेअंत) जीव पैदा किये हुए हैं (जो बयान कर रहे हैं)~ (पर~ हे हरि!) अगर तू और भी (बेअंत जीव) पैदा कर दे,,,ऐते कीते = इतने जीव पैदा किए हुए हैं। होरि = और बेअंत जीव। करेहि = यदि तू पैदा कर दे (हे हरि!)।,
P0006L09,तो भी कोई जीव तेरा अंदाजा नहीं लगा सकता।,,,ता = तो भी। न केई केइ = कोई भी मनुष्य नहीं। आखि सकहि = कह सकते हैं।,
P0006L10,अर्थ: हे नानक! परमात्मा जितना चाहता है उतना ही बड़ा हो जाता है (अपनी कुदरत बढ़ा लेता है)।,,,जेवडु = जितना बड़ा। भावै = चाहता है। तेवडु = उतना बड़ा।,
P0006L11,वह सदा स्थिर रहने वाला हरि स्वयं ही जानता है (कि वह कितना बड़ा है)।,,,साचा सोइ = वह सदा स्थिर रहने वाला अकाल-पुरख।,
P0006L12,अगर कोई बड़बोला मनुष्य ये बताने लगे (कि अकाल पुरख कितना बड़ा है),,,बोलु विगाड़ु = बड़बोला~ बढ़ा चढ़ा के बातें करने वाला।,
P0006L13,तो वह मनुष्यों में महा मूर्ख गिना जाता है।26।,,भाव:  जगत में बेअंत विद्वान हो चुके हैं और पैदा होते रहेंगे। पर~ अभी तक ना कोई मनुष्य ये लेखा कर सका है~ और ना ही आगे कोई कर सकेगा कि प्रभू में कितनी महानतायें हैं~ और वह कितनी रहमतें जीवों पर कर रहा है। बेअंत हैं उसके गुण~ बेअंत हैं उसकी दातें। इस भेद को उस परमेश्वर के बिना और कोई नहीं जानता। ये काम मनुष्य की ताकत से बहुत परे का है। वह मनुष्य महा गावार है~ जो प्रभू के गुणों और दातों की सीमाएं ढूँढ सकने का दावा करता है।26।,लिखिअै = (वह बड़बोला) लिखा जाता है। सिरि गावारा गावारु = गावारों का भी गावार~ मूर्खों के सिर मूर्ख~ महा मूर्ख।,
P0006L14,अर्थ: वह दर बड़ा ही आश्चर्य भरा है जहाँ बैठ के (हे निरंकार!) तू सारे जीवों की संभाल कर रहा है।,,,केहा = कैसा~ आश्चर्य भरा। दरु = दरवाजा। जितु = जहाँ। बहि = बैठ के। सरब = सारे जीवों को। समाले = तू संभाल करता है।,
P0006L15,(तेरी इस रची हुई कुदरत में) अनेकों और अनगिनत वाजे (संगीत-यंत्र) और राग हैं; बेअंत ही जीव उन बाजों को बजाने वाले हैं~,,,नाद = आवाज~ शब्द्~ राग। वावणहारे = बजाने वाले।,
P0006L16,रागनियों समेतबेअंत ही राग कहे जाते हैं~ और अनेको ही जीव (इन रागों के) गाने वाले हैं (जो तुझे गा रहे हैं)।,,,परी = रागनी। सिउ = समेत। परी सिउ = रागनियों समेत। कहिअनि = कहे जाते हैं।,
P0006L17,"अर्थ: (हे निरंकार!) पवन~ पानी~ अग्नि तेरा गुण गान कर रहे हैं, धर्मराज तेरे दर पे (खड़ा होकर) तेरी उस्तति कर रहा है।",,,तुहनो = तुझे (हे अकाल-पुरख!)। राजा धरमु = धर्मराज। दुआरे = तेरे दर पे (हे निरंकार!)।  बैसंतरु = आग।,
