PID,Gist_English_by_Sant_Singh
P0016L22,Those who are known as sultans and emperors shall be reduced to dust in the end.
P0016L23,"O Nanak, arising and departing, all false attachments are cut away. ||4||6||"
P0016L24,"Siree Raag, First Mehl:"
P0016L25,"Believing, all tastes are sweet. Hearing, the salty flavors are tasted;"
P0016L26,"Chanting with one's mouth, the spicy flavors are savored. All these spices have been made from the Sound-current of the Naad."
P0016L27,The thirty-six flavors of ambrosial nectar are in the Love of the One Lord; they are tasted only by one who is blessed by His Glance of Grace. ||1||
P0016L28,"O Baba, the pleasures of other foods are false."
P0016L29,"Eating them, the body is ruined, and wickedness and corruption enter into the mind. ||1||Pause||"
P0016L30,My mind is imbued with the Lord's Love; it is dyed a deep crimson. Truth and charity are my white clothes.
P0016L31,"The blackness of sin is erased by my wearing of blue clothes, and meditation on the Lord's Lotus Feet is my robe of honor."
P0016L32,"Contentment is my cummerbund, Your Name is my wealth and youth. ||2||"
P0016L33,"O Baba, the pleasures of other clothes are false."
P0016L34,"Wearing them, the body is ruined, and wickedness and corruption enter into the mind. ||1||Pause||"
P0016L35,"The understanding of Your Way, Lord, is horses, saddles and bags of gold for me."
P0016L36,"The pursuit of virtue is my bow and arrow, my quiver, sword and scabbard."
P0016L37,To be distinguished with honor is my drum and banner. Your Mercy is my social status. ||3||
P0016L38,"O Baba, the pleasures of other rides are false."
P0016L39,"By such rides, the body is ruined, and wickedness and corruption enter into the mind. ||1||Pause||"
P0016L40,"The Naam, the Name of the Lord, is the pleasure of houses and mansions. Your Glance of Grace is my family, Lord."
P0017L01,"The Hukam of Your Command is the pleasure of Your Will, Lord. To say anything else is far beyond anyone's reach."
P0017L02,"O Nanak, the True King does not seek advice from anyone else in His decisions. ||4||"
P0017L03,"O Baba, the pleasure of other sleep is false."
P0017L04,"By such sleep, the body is ruined, and wickedness and corruption enter into the mind. ||1||Pause||4||7||"
P0017L05,"Siree Raag, First Mehl:"
P0017L06,"With the body of saffron, and the tongue a jewel, and the breath of the body pure fragrant incense;"
P0017L07,"With the face anointed at the sixty-eight holy places of pilgrimage, and the heart illuminated with wisdom"
P0017L08,"-with that wisdom, chant the Praises of the True Name, the Treasure of Excellence. ||1||"
P0017L09,"O Baba, other wisdom is useless and irrelevant."
P0017L10,"If falsehood is practiced a hundred times, it is still false in its effects. ||1||Pause||"
P0017L11,You may be worshipped and adored as a Pir (a spiritual teacher); you may be welcomed by all the world;
P0017L12,"You may adopt a lofty name, and be known to have supernatural spiritual powers"
P0017L13,"-even so, if you are not accepted in the Court of the Lord, then all this adoration is false. ||2||"
P0017L14,No one can overthrow those who have been established by the True Guru.
P0017L15,"The Treasure of the Naam, the Name of the Lord, is within them, and through the Naam, they are radiant and famous."
P0017L16,"They worship the Naam, and they believe in the Naam. The True One is forever Intact and Unbroken. ||3||"
P0017L17,"When the body mingles with dust, what happens to the soul?"
P0017L18,"All clever tricks are burnt away, and you shall depart crying."
P0017L19,"O Nanak, those who forget the Naam-what will happen when they go to the Court of the Lord? ||4||8||"
P0017L20,"Siree Raag, First Mehl:"
P0017L21,The virtuous wife exudes virtue; the unvirtuous suffer in misery.
P0017L22,"If you long for your Husband Lord, O soul-bride, you must know that He is not met by falsehood."
P0017L23,No boat or raft can take you to Him. Your Husband Lord is far away. ||1||
P0017L24,My Lord and Master is Perfect; His Throne is Eternal and Immovable.
P0017L25,"One who attains perfection as Gurmukh, obtains the Immeasurable True Lord. ||1||Pause||"
P0017L26,The Palace of the Lord God is so beautiful.
P0017L27,"Within it, there are gems, rubies, pearls and flawless diamonds. A fortress of gold surrounds this Source of Nectar."
P0017L28,"How can I climb up to the Fortress without a ladder? By meditating on the Lord, through the Guru, I am blessed and exalted. ||2||"
P0017L29,"The Guru is the Ladder, the Guru is the Boat, and the Guru is the Raft to take me to the Lord's Name."
P0017L30,"The Guru is the Boat to carry me across the world-ocean; the Guru is the Sacred Shrine of Pilgrimage, the Guru is the Holy River."
P0017L31,"If it pleases Him, I bathe in the Pool of Truth, and become radiant and pure. ||3||"
P0017L32,He is called the Most Perfect of the Perfect. He sits upon His Perfect Throne.
P0017L33,He looks so Beautiful in His Perfect Place. He fulfills the hopes of the hopeless.
P0017L34,"O Nanak, if one obtains the Perfect Lord, how can his virtues decrease? ||4||9||"
P0017L35,"Siree Raag, First Mehl:"
P0017L36,"Come, my dear sisters and spiritual companions; hug me close in your embrace."
P0017L37,"Let's join together, and tell stories of our All-powerful Husband Lord."
P0017L38,All Virtues are in our True Lord and Master; we are utterly without virtue. ||1||
P0017L39,"O Creator Lord, all are in Your Power."
P0017L40,I dwell upon the One Word of the Shabad. You are mine-what else do I need? ||1||Pause||
P0017L41,"Go, and ask the happy soul-brides, """"By what virtuous qualities do you enjoy your Husband Lord?"""""
P0017L42,"""We are adorned with intuitive ease, contentment and sweet words."
P0017L43,"We meet with our Beloved, the Source of Joy, when we listen to the Word of the Guru's Shabad.""||2||"
P0018L01,"You have so many Creative Powers, Lord; Your Bountiful Blessings are so Great."
P0018L02,So many of Your beings and creatures praise You day and night.
P0018L03,"You have so many forms and colors, so many classes, high and low. ||3||"
P0018L04,"Meeting the True One, Truth wells up. The truthful are absorbed into the True Lord."
P0018L05,"Intuitive understanding is obtained and one is welcomed with honor, through the Guru's Word, filled with the Fear of God."
P0018L06,"O Nanak, the True King absorbs us into Himself. ||4||10||"
P0018L07,"Siree Raag, First Mehl:"
P0018L08,"It all worked out-I was saved, and the egotism within my heart was subdued."
P0018L09,"The evil energies have been made to serve me, since I placed my faith in the True Guru."
P0018L10,"I have renounced my useless schemes, by the Grace of the True, Carefree Lord. ||1||"
P0018L11,"O mind, meeting with the True One, fear departs."
P0018L12,"Without the Fear of God, how can anyone become fearless? Become Gurmukh, and immerse yourself in the Shabad. ||1||Pause||"
P0018L13,How can we describe Him with words? There is no end to the descriptions of Him.
P0018L14,"There are so many beggars, but He is the only Giver."
P0018L15,"He is the Giver of the soul, and the praanaa, the breath of life; when He dwells within the mind, there is peace. ||2||"
P0018L16,"The world is a drama, staged in a dream. In a moment, the play is played out."
P0018L17,"Some attain union with the Lord, while others depart in separation."
P0018L18,Whatever pleases Him comes to pass; nothing else can be done. ||3||
P0018L19,The Gurmukhs purchase the Genuine Article. The True Merchandise is purchased with the True Capital.
P0018L20,Those who purchase this True Merchandise through the Perfect Guru are blessed.
P0018L21,"O Nanak, one who stocks this True Merchandise shall recognize and realize the Genuine Article. ||4||11||"
P0018L22,"Siree Raag, First Mehl:"
P0018L23,"As metal merges with metal, those who chant the Praises of the Lord are absorbed into the Praiseworthy Lord."
P0018L24,"Like the poppies, they are dyed in the deep crimson color of Truthfulness."
P0018L25,"Those contented souls who meditate on the Lord with single-minded love, meet the True Lord. ||1||"
P0018L26,"O Siblings of Destiny, become the dust of the feet of the humble Saints."
P0018L27,"In the Society of the Saints, the Guru is found. He is the Treasure of Liberation, the Source of all good fortune. ||1||Pause||"
P0018L28,"Upon that Highest Plane of Sublime Beauty, stands the Mansion of the Lord."
P0018L29,"By true actions, this human body is obtained, and the door within ourselves which leads to the Mansion of the Beloved, is found."
P0018L30,"The Gurmukhs train their minds to contemplate the Lord, the Supreme Soul. ||2||"
P0018L31,"By actions committed under the influence of the three qualities, hope and anxiety are produced."
P0018L32,"Without the Guru, how can anyone be released from these three qualities? Through intuitive wisdom, we meet with Him and find peace."
P0018L33,"Within the home of the self, the Mansion of His Presence is realized when He bestows His Glance of Grace and washes away our pollution. ||3||"
P0018L34,"Without the Guru, this pollution is not removed. Without the Lord, how can there be any homecoming?"
P0018L35,"Contemplate the One Word of the Shabad, and abandon other hopes."
P0018L36,"O Nanak, I am forever a sacrifice to the one who beholds, and inspires others to behold Him. ||4||12||"
P0018L37,"Siree Raag, First Mehl:"
P0018L38,The life of the discarded bride is cursed. She is deceived by the love of duality.
P0018L39,"Like a wall of sand, day and night, she crumbles, and eventually, she breaks down altogether."
P0018L40,"Without the Word of the Shabad, peace does not come. Without her Husband Lord, her suffering does not end. ||1||"
P0018L41,"O soul-bride, without your Husband Lord, what good are your decorations?"
P0019L01,"In this world, you shall not find any shelter; in the world hereafter, being false, you shall suffer. ||1||Pause||"
P0019L02,The True Lord Himself knows all; He makes no mistakes. He is the Great Farmer of the Universe.
P0019L03,"First, He prepares the ground, and then He plants the Seed of the True Name."
P0019L04,"The nine treasures are produced from Name of the One Lord. By His Grace, we obtain His Banner and Insignia. ||2||"
P0019L05,"Some are very knowledgeable, but if they do not know the Guru, then what is the use of their lives?"
P0019L06,"The blind have forgotten the Naam, the Name of the Lord. The self-willed manmukhs are in utter darkness."
P0019L07,"Their comings and goings in reincarnation do not end; through death and rebirth, they are wasting away. ||3||"
P0019L08,"The bride may buy sandalwood oil and perfumes, and apply them in great quantities to her hair;"
P0019L09,"She may sweeten her breath with betel leaf and camphor,"
P0019L10,"But if this bride is not pleasing to her Husband Lord, then all these trappings are false. ||4||"
P0019L11,"Her enjoyment of all pleasures is futile, and all her decorations are corrupt."
P0019L12,"Until she has been pierced through with the Shabad, how can she look beautiful at Guru's Gate?"
P0019L13,"O Nanak, blessed is that fortunate bride, who is in love with her Husband Lord. ||5||13||"
P0019L14,"Siree Raag, First Mehl:"
P0019L15,"The empty body is dreadful, when the soul goes out from within."
P0019L16,"The burning fire of life is extinguished, and the smoke of the breath no longer emerges."
P0019L17,"The five relatives (the senses) weep and wail painfully, and waste away through the love of duality. ||1||"
P0019L18,"You fool: chant the Name of the Lord, and preserve your virtue."
P0019L19,Egotism and possessiveness are very enticing; egotistical pride has plundered everyone. ||1||Pause||
P0019L20,"Those who have forgotten the Naam, the Name of the Lord, are attached to affairs of duality."
P0019L21,"Attached to duality, they putrefy and die; they are filled with the fire of desire within."
P0019L22,Those who are protected by the Guru are saved; all others are cheated and plundered by deceitful worldly affairs. ||2||
P0019L23,"Love dies, and affection vanishes. Hatred and alienation die."
P0019L24,"Entanglements end, and egotism dies, along with attachment to Maya, possessiveness and anger."
P0019L25,Those who receive His Mercy obtain the True One. The Gurmukhs dwell forever in balanced restraint. ||3||
P0019L26,"By true actions, the True Lord is met, and the Guru's Teachings are found."
P0019L27,"Then, they are not subject to birth and death; they do not come and go in reincarnation."
P0019L28,"O Nanak, they are respected at the Lord's Gate; they are robed in honor in the Court of the Lord. ||4||14||"
P0019L29,"Siree Raag, First Mehl:"
P0019L30,"The body is burnt to ashes; by its love of Maya, the mind is rusted through."
P0019L31,"Demerits become one's enemies, and falsehood blows the bugle of attack."
P0019L32,"Without the Word of the Shabad, people wander lost in reincarnation. Through the love of duality, multitudes have been drowned. ||1||"
P0019L33,"O mind, swim across, by focusing your consciousness on the Shabad."
P0019L34,"Those who do not become Gurmukh do not understand the Naam; they die, and continue coming and going in reincarnation. ||1||Pause||"
P0019L35,"That body is said to be pure, in which the True Name abides."
P0019L36,"One whose body is imbued with the Fear of the True One, and whose tongue savors Truthfulness,"
P0019L37,Is brought to ecstasy by the True Lord's Glance of Grace. That person does not have to go through the fire of the womb again. ||2||
P0019L38,"From the True Lord came the air, and from the air came water."
P0019L39,"From water, He created the three worlds; in each and every heart He has infused His Light."
P0019L40,"The Immaculate Lord does not become polluted. Attuned to the Shabad, honor is obtained. ||3||"
P0019L41,"One whose mind is contented with Truthfulness, is blessed with the Lord's Glance of Grace."
P0020L01,The body of the five elements is dyed in the Fear of the True One; the mind is filled with the True Light.
P0020L02,"O Nanak, your demerits shall be forgotten; the Guru shall preserve your honor. ||4||15||"
P0020L03,"Siree Raag, First Mehl:"
P0020L04,"O Nanak, the Boat of Truth will ferry you across; contemplate the Guru."
P0020L05,"Some come, and some go; they are totally filled with egotism."
P0020L06,"Through stubborn-mindedness, the intellect is drowned; one who becomes Gurmukh and truthful is saved. ||1||"
P0020L07,"Without the Guru, how can anyone swim across to find peace?"
P0020L08,"As it pleases You, Lord, You save me. There is no other for me at all. ||1||Pause||"
P0020L09,"In front of me, I see the jungle burning; behind me, I see green plants sprouting."
P0020L10,We shall merge into the One from whom we came. The True One is pervading each and every heart.
P0020L11,He Himself unites us in Union with Himself; the True Mansion of His Presence is close at hand. ||2||
P0020L12,"With each and every breath, I dwell upon You; I shall never forget You."
P0020L13,"The more the Lord and Master dwells within the mind, the more the Gurmukh drinks in the Ambrosial Nectar."
P0020L14,"Mind and body are Yours; You are my Master. Please rid me of my pride, and let me merge with You. ||3||"
P0020L15,The One who formed this universe created the creation of the three worlds.
P0020L16,"The Gurmukh knows the Divine Light, while the foolish self-willed manmukh gropes around in the darkness."
P0020L17,One who sees that Light within each and every heart understands the Essence of the Guru's Teachings. ||4||
P0020L18,Those who understand are Gurmukh; recognize and applaud them.
P0020L19,They meet and merge with the True One. They become the Radiant Manifestation of the Excellence of the True One.
P0020L20,"O Nanak, they are contented with the Naam, the Name of the Lord. They offer their bodies and souls to God. ||5||16||"
P0020L21,"Siree Raag, First Mehl:"
P0020L22,"Listen, O my mind, my friend, my darling: now is the time to meet the Lord."
P0020L23,"As long as there is youth and breath, give this body to Him."
P0020L24,"Without virtue, it is useless; the body shall crumble into a pile of dust. ||1||"
P0020L25,"O my mind, earn the profit, before you return home."
P0020L26,"The Gurmukh praises the Naam, and the fire of egotism is extinguished. ||1||Pause||"
P0020L27,"Again and again, we hear and tell stories; we read and write and understand loads of knowledge,"
P0020L28,"But still, desires increase day and night, and the disease of egotism fills us with corruption."
P0020L29,That Carefree Lord cannot be appraised; His Real Value is known only through the Wisdom of the Guru's Teachings. ||2||
P0020L30,"Even if someone has hundreds of thousands of clever mental tricks, and the love and company of hundreds of thousands of people"
P0020L31,"Still, without the Saadh Sangat, the Company of the Holy, he will not feel satisfied. Without the Name, all suffer in sorrow."
P0020L32,"Chanting the Name of the Lord, O my soul, you shall be emancipated; as Gurmukh, you shall come to understand your own self. ||3||"
P0020L33,"I have sold my body and mind to the Guru, and I have given my mind and head as well."
P0020L34,"I was seeking and searching for Him throughout the three worlds; then, as Gurmukh, I sought and found Him."
P0020L35,"The True Guru has united me in Union, O Nanak, with that God. ||4||17||"
P0020L36,"Siree Raag, First Mehl:"
P0020L37,"I have no anxiety about dying, and no hope of living."
P0020L38,You are the Cherisher of all beings; You keep the account of our breaths and morsels of food.
P0020L39,"You abide within the Gurmukh. As it pleases You, You decide our allotment. ||1||"
P0020L40,"O my soul, chant the Name of the Lord; the mind will be pleased and appeased."
P0020L41,The raging fire within is extinguished; the Gurmukh obtains spiritual wisdom. ||1||Pause||
P0021L01,Know the state of your inner being; meet with the Guru and get rid of your skepticism.
P0021L02,"To reach your True Home after you die, you must conquer death while you are still alive."
P0021L03,"The beautiful, Unstruck Sound of the Shabad is obtained, contemplating the Guru. ||2||"
P0021L04,"The Unstruck Melody of Gurbani is obtained, and egotism is eliminated."
P0021L05,I am forever a sacrifice to those who serve their True Guru.
P0021L06,They are dressed in robes of honor in the Court of the Lord; the Name of the Lord is on their lips. ||3||
P0021L07,"Wherever I look, I see the Lord pervading there, in the union of Shiva and Shakti, of consciousness and matter."
P0021L08,The three qualities hold the body in bondage; whoever comes into the world is subject to their play.
P0021L09,Those who separate themselves from the Lord wander lost in misery. The self-willed manmukhs do not attain union with Him. ||4||
P0021L10,"If the mind becomes balanced and detached, and comes to dwell in its own true home, imbued with the Fear of God,"
P0021L11,Then it enjoys the essence of supreme spiritual wisdom; it shall never feel hunger again.
P0021L12,"O Nanak, conquer and subdue this mind; meet with the Lord, and you shall never again suffer in pain. ||5||18||"
P0021L13,"Siree Raag, First Mehl:"
P0021L14,"This foolish mind is greedy; through greed, it becomes even more attached to greed."
P0021L15,"The evil-minded shaaktas, the faithless cynics, are not attuned to the Shabad; they come and go in reincarnation."
P0021L16,One who meets with the Holy True Guru finds the Treasure of Excellence. ||1||
P0021L17,"O mind, renounce your egotistical pride."
P0021L18,"Serve the Lord, the Guru, the Sacred Pool, and you shall be honored in the Court of the Lord. ||1||Pause||"
P0021L19,"Chant the Name of the Lord day and night; become Gurmukh, and know the Wealth of the Lord."
P0021L20,"All comforts and peace, and the Essence of the Lord, are enjoyed by acquiring spiritual wisdom in the Society of the Saints."
P0021L21,"Day and night, continually serve the Lord God; the True Guru has given the Naam. ||2||"
P0021L22,Those who practice falsehood are dogs; those who slander the Guru shall burn in their own fire.
P0021L23,"They wander lost and confused, deceived by doubt, suffering in terrible pain. The Messenger of Death shall beat them to a pulp."
P0021L24,"The self-willed manmukhs find no peace, while the Gurmukhs are wondrously joyful. ||3||"
P0021L25,"In this world, people are engrossed in false pursuits, but in the world hereafter, only the account of your true actions is accepted."
P0021L26,"The Guru serves the Lord, His Intimate Friend. The Guru's actions are supremely exalted."
P0021L27,"O Nanak, never forget the Naam, the Name of the Lord; the True Lord shall bless you with His Mark of Grace. ||4||19||"
P0021L28,"Siree Raag, First Mehl:"
P0021L29,"Forgetting the Beloved, even for a moment, the mind is afflicted with terrible diseases."
P0021L30,"How can honor be attained in His Court, if the Lord does not dwell in the mind?"
P0021L31,"Meeting with the Guru, peace is found. The fire is extinguished in His Glorious Praises. ||1||"
P0021L32,"O mind, enshrine the Praises of the Lord, day and night."
P0021L33,"One who does not forget the Naam, for a moment or even an instant-how rare is such a person in this world! ||1||Pause||"
P0021L34,"When one's light merges into the Light, and one's intuitive consciousness is joined with the Intuitive Consciousness,"
P0021L35,"Then one's cruel and violent instincts and egotism depart, and skepticism and sorrow are taken away."
P0021L36,"The Lord abides within the mind of the Gurmukh, who merges in the Lord's Union, through the Guru. ||2||"
P0021L37,"If I surrender my body like a bride, the Enjoyer will enjoy me."
P0021L38,Do not make love with one who is just a passing show.
P0021L39,"The Gurmukh is ravished like the pure and happy bride on the Bed of God, her Husband. ||3||"
P0022L01,"The Gurmukh puts out the four fires, with the Water of the Lord's Name."
P0022L02,"The lotus blossoms deep within the heart, and filled with Ambrosial Nectar, one is satisfied."
P0022L03,"O Nanak, make the True Guru your friend; going to His Court, you shall obtain the True Lord. ||4||20||"
P0022L04,"Siree Raag, First Mehl:"
P0022L05,"Meditate on the Lord, Har, Har, O my beloved; follow the Guru's Teachings, and speak of the Lord."
P0022L06,"Apply the Touchstone of Truth to your mind, and see if it comes up to its full weight."
P0022L07,No one has found the worth of the ruby of the heart; its value cannot be estimated. ||1||
P0022L08,"O Siblings of Destiny, the Diamond of the Lord is within the Guru."
P0022L09,"The True Guru is found in the Sat Sangat, the True Congregation. Day and night, praise the Word of His Shabad. ||1||Pause||"
P0022L10,"The True Merchandise, Wealth and Capital are obtained through the Radiant Light of the Guru."
P0022L11,"Just as fire is extinguished by pouring on water, desire becomes the slave of the Lord's slaves."
P0022L12,"The Messenger of Death will not touch you; in this way, you shall cross over the terrifying world-ocean, carrying others across with you. ||2||"
P0022L13,The Gurmukhs do not like falsehood. They are imbued with Truth; they love only Truth.
P0022L14,"The shaaktas, the faithless cynics, do not like the Truth; false are the foundations of the false."
P0022L15,"Imbued with Truth, you shall meet the Guru. The true ones are absorbed into the True Lord. ||3||"
P0022L16,"Within the mind are emeralds and rubies, the Jewel of the Naam, treasures and diamonds."
P0022L17,"The Naam is the True Merchandise and Wealth; in each and every heart, His Presence is deep and profound."
P0022L18,"O Nanak, the Gurmukh finds the Diamond of the Lord, by His Kindness and Compassion. ||4||21||"
P0022L19,"Siree Raag, First Mehl:"
P0022L20,"The fire of doubt is not extinguished, even by wandering through foreign lands and countries."
P0022L21,"If inner filth is not removed, one's life is cursed, and one's clothes are cursed."
P0022L22,"There is no other way to perform devotional worship, except through the Teachings of the True Guru. ||1||"
P0022L23,"O mind, become Gurmukh, and extinguish the fire within."
P0022L24,Let the Words of the Guru abide within your mind; let egotism and desires die. ||1||Pause||
P0022L25,"The jewel of the mind is priceless; through the Name of the Lord, honor is obtained."
P0022L26,"Join the Sat Sangat, the True Congregation, and find the Lord. The Gurmukh embraces love for the Lord."
P0022L27,"Give up your selfishness, and you shall find peace; like water mingling with water, you shall merge in absorption. ||2||"
P0022L28,"Those who have not contemplated the Name of the Lord, Har, Har, are unworthy; they come and go in reincarnation."
P0022L29,"One who has not met with the True Guru, the Primal Being, is bothered and bewildered in the terrifying world-ocean."
P0022L30,"This jewel of the soul is priceless, and yet it is being squandered like this, in exchange for a mere shell. ||3||"
P0022L31,Those who joyfully meet with the True Guru are perfectly fulfilled and wise.
P0022L32,"Meeting with the Guru, they cross over the terrifying world-ocean. In the Court of the Lord, they are honored and approved."
P0022L33,"O Nanak, their faces are radiant; the Music of the Shabad, the Word of God, wells up within them. ||4||22||"
P0022L34,"Siree Raag, First Mehl:"
P0022L35,"Make your deals, dealers, and take care of your merchandise."
P0022L36,Buy that object which will go along with you.
P0022L37,"In the next world, the All-knowing Merchant will take this object and care for it. ||1||"
P0022L38,"O Siblings of Destiny, chant the Lord's Name, and focus your consciousness on Him."
P0022L39,Take the Merchandise of the Lord's Praises with you. Your Husband Lord shall see this and approve. ||1||Pause||
P0023L01,Those who do not have the Assets of Truth-how can they find peace?
P0023L02,"By dealing their deals of falsehood, their minds and bodies become false."
P0023L03,"Like the deer caught in the trap, they suffer in terrible agony; they continually cry out in pain. ||2||"
P0023L04,The counterfeit coins are not put into the Treasury; they do not obtain the Blessed Vision of the Lord-Guru.
P0023L05,The false ones have no social status or honor. No one succeeds through falsehood.
P0023L06,"Practicing falsehood again and again, people come and go in reincarnation, and forfeit their honor. ||3||"
P0023L07,"O Nanak, instruct your mind through the Word of the Guru's Shabad, and praise the Lord."
P0023L08,Those who are imbued with the love of the Name of the Lord are not loaded down by doubt.
P0023L09,Those who chant the Name of the Lord earn great profits; the Fearless Lord abides within their minds. ||4||23||
P0023L10,"Siree Raag, First Mehl, Second House:"
P0023L11,"Wealth, the beauty of youth and flowers are guests for only a few days."
P0023L12,"Like the leaves of the water-lily, they wither and fade and finally die. ||1||"
P0023L13,"Be happy, dear beloved, as long as your youth is fresh and delightful."
P0023L14,"But your days are few-you have grown weary, and now your body has grown old. ||1||Pause||"
P0023L15,My playful friends have gone to sleep in the graveyard.
P0023L16,"In my double-mindedness, I shall have to go as well. I cry in a feeble voice. ||2||"
P0023L17,"Haven't you heard the call from beyond, O beautiful soul-bride?"
P0023L18,You must go to your in-laws; you cannot stay with your parents forever. ||3||
P0023L19,"O Nanak, know that she who sleeps in her parents' home is plundered in broad daylight."
P0023L20,"She has lost her bouquet of merits; gathering one of demerits, she departs. ||4||24||"
P0023L21,"Siree Raag, First Mehl, Second House:"
P0023L22,"He Himself is the Enjoyer, and He Himself is the Enjoyment. He Himself is the Ravisher of all."
P0023L23,"He Himself is the Bride in her dress, He Himself is the Bridegroom on the bed. ||1||"
P0023L24,My Lord and Master is imbued with love; He is totally permeating and pervading all. ||1||Pause||
P0023L25,He Himself is the fisherman and the fish; He Himself is the water and the net.
P0023L26,"He Himself is the sinker, and He Himself is the bait. ||2||"
P0023L27,"He Himself loves in so many ways. O sister soul-brides, He is my Beloved."
P0023L28,He continually ravishes and enjoys the happy soul-brides; just look at the plight I am in without Him! ||3||
P0023L29,"Prays Nanak, please hear my prayer: You are the pool, and You are the soul-swan."
P0023L30,"You are the lotus flower of the day and You are the water-lily of the night. You Yourself behold them, and blossom forth in bliss. ||4||25||"
P0023L31,"Siree Raag, First Mehl, Third House:"
P0023L32,"Make this body the field, and plant the seed of good actions. Water it with the Name of the Lord, who holds all the world in His Hands."
P0023L33,"Let your mind be the farmer; the Lord shall sprout in your heart, and you shall attain the state of Nirvaanaa. ||1||"
P0023L34,You fool! Why are you so proud of Maya?
P0023L35,"Father, children, spouse, mother and all relatives-they shall not be your helpers in the end. ||Pause||"
P0023L36,"So weed out evil, wickedness and corruption; leave these behind, and let your soul meditate on God."
P0023L37,"When chanting, austere meditation and self-discipline become your protectors, then the lotus blossoms forth, and the honey trickles out. ||2||"
P0023L38,"Bring the twenty-seven elements of the body under your control, and throughout the three stages of life, remember death."
P0023L39,"See the Infinite Lord in the ten directions, and in all the variety of nature. Says Nanak, in this way, the One Lord shall carry you across. ||3||26||"
P0024L01,"Siree Raag, First Mehl, Third House:"
P0024L02,"Make good deeds the soil, and let the Word of the Shabad be the seed; irrigate it continually with the water of Truth."
P0024L03,"Become such a farmer, and faith will sprout. This brings knowledge of heaven and hell, you fool! ||1||"
P0024L04,Do not think that your Husband Lord can be obtained by mere words.
P0024L05,You are wasting this life in the pride of wealth and the splendor of beauty. ||1||Pause||
P0024L06,"The defect of the body which leads to sin is the mud puddle, and this mind is the frog, which does not appreciate the lotus flower at all."
P0024L07,"The bumble bee is the teacher who continually teaches the lesson. But how can one understand, unless one is made to understand? ||2||"
P0024L08,"This speaking and listening is like the song of the wind, for those whose minds are colored by the love of Maya."
P0024L09,The Grace of the Master is bestowed upon those who meditate on Him alone. They are pleasing to His Heart. ||3||
P0024L10,"You may observe the thirty fasts, and say the five prayers each day, but 'Satan' can undo them."
P0024L11,"Says Nanak, you will have to walk on the Path of Death, so why do you bother to collect wealth and property? ||4||27||"
P0024L12,"Siree Raag, First Mehl, Fourth House:"
P0024L13,"He is the Master who has made the world bloom; He makes the Universe blossom forth, fresh and green."
P0024L14,He holds the water and the land in bondage. Hail to the Creator Lord! ||1||
P0024L15,"Death, O Mullah-death will come,"
P0024L16,So live in the Fear of God the Creator. ||1||Pause||
P0024L17,"You are a Mullah, and you are a Qazi, only when you know the Naam, the Name of God."
P0024L18,"You may be very educated, but no one can remain when the measure of life is full. ||2||"
P0024L19,"He alone is a Qazi, who renounces selfishness and conceit, and makes the One Name his Support."
P0024L20,"The True Creator Lord is, and shall always be. He was not born; He shall not die. ||3||"
P0024L21,You may chant your prayers five times each day; you may read the Bible and the Koran.
P0024L22,"Says Nanak, the grave is calling you, and now your food and drink are finished. ||4||28||"
P0024L23,"Siree Raag, First Mehl, Fourth House:"
P0024L24,The dogs of greed are with me.
P0024L25,"In the early morning, they continually bark at the wind."
P0024L26,"Falsehood is my dagger; through deception, I eat the carcasses of the dead."
P0024L27,"I live as a wild hunter, O Creator! ||1||"
P0024L28,"I have not followed good advice, nor have I done good deeds."
P0024L29,I am deformed and horribly disfigured.
P0024L30,"Your Name alone, Lord, saves the world."
P0024L31,This is my hope; this is my support. ||1||Pause||
P0024L32,"With my mouth I speak slander, day and night."
P0024L33,I spy on the houses of others-I am such a wretched low-life!
P0024L34,"Unfulfilled sexual desire and unresolved anger dwell in my body, like the outcasts who cremate the dead."
P0024L35,"I live as a wild hunter, O Creator! ||2||"
P0024L36,"I make plans to trap others, although I appear gentle."
P0024L37,I am a robber-I rob the world.
P0024L38,I am very clever-I carry loads of sin.
P0024L39,"I live as a wild hunter, O Creator! ||3||"
P0024L40,"I have not appreciated what You have done for me, Lord; I take from others and exploit them."
P0024L41,"What face shall I show You, Lord? I am a sneak and a thief."
P0024L42,Nanak describes the state of the lowly.
P0024L43,"I live as a wild hunter, O Creator! ||4||29||"
P0024L44,"Siree Raag, First Mehl, Fourth House:"
P0024L45,There is one awareness among all created beings.
P0024L46,None have been created without this awareness.
P0025L01,"As is their awareness, so is their way."
P0025L02,"According to the account of our actions, we come and go in reincarnation. ||1||"
P0025L03,"Why, O soul, do you try such clever tricks?"
P0025L04,"Taking away and giving back, God does not delay. ||1||Pause||"
P0025L05,"All beings belong to You; all beings are Yours. O Lord and Master,"
P0025L06,How can You become angry with them?
P0025L07,"Even if You, O Lord and Master, become angry with them,"
P0025L08,"Still, You are theirs, and they are Yours. ||2||"
P0025L09,We are foul-mouthed; we spoil everything with our foul words.
P0025L10,You weigh us in the balance of Your Glance of Grace.
P0025L11,"When one's actions are right, the understanding is perfect."
P0025L12,"Without good deeds, it becomes more and more deficient. ||3||"
P0025L13,"Prays Nanak, what is the nature of the spiritual people?"
P0025L14,They are self-realized; they understand God.
P0025L15,"By Guru's Grace, they contemplate Him;"
P0025L16,Such spiritual people are honored in His Court. ||4||30||
